date,day_num,dacq_limit,cake_limit,pickup_time
20210627,7,200,10,"14,15,16,17,18,19"
20210628,1,200,10,"14,15,16,17,18,19"
20210629,2,200,10,"14,15,16,17,18,19"
20210630,3,200,10,"14,15,16,17,18,19"
20210701,4,200,10,"14,15,16,17,18,19"
20210702,5,200,10,"14,15,16,17,18,19"
20210703,6,200,10,"11,16,17,18,19"
20210704,7,200,10,"14,15,16,17,18,19"
20210705,1,200,10,"14,15,16,17,18,19"
20210706,2,200,10,"14,15,16,17,18,19"
20210707,3,200,10,"14,15,16,17,18,19"
20210708,4,200,10,"14,15,16,17,18,19"
20210709,5,200,10,"14,15,16,17,18,19"
20210710,6,200,10,"11,16,17,18,19"
20210711,7,200,10,"14,15,16,17,18,19"
20210712,1,200,10,"14,15,16,17,18,19"
20210713,2,200,10,"14,15,16,17,18,19"
20210714,3,200,10,"14,15,16,17,18,19"
20210715,4,200,10,"14,15,16,17,18,19"
20210716,5,200,10,"14,15,16,17,18,19"
20210717,6,200,10,"11,16,17,18,19"
20210718,7,200,10,"14,15,16,17,18,19"
20210719,1,200,10,"14,15,16,17,18,19"
20210720,2,200,10,"14,15,16,17,18,19"
20210721,3,200,10,"14,15,16,17,18,19"
20210722,4,200,10,"14,15,16,17,18,19"
20210723,5,200,10,"14,15,16,17,18,19"
20210724,6,200,10,"11,16,17,18,19"
20210725,7,200,10,"14,15,16,17,18,19"
20210726,1,200,10,"14,15,16,17,18,19"
20210727,2,200,10,"14,15,16,17,18,19"
20210728,3,200,10,"14,15,16,17,18,19"
20210729,4,200,10,"14,15,16,17,18,19"
20210730,5,200,10,"14,15,16,17,18,19"
20210731,6,200,10,"11,16,17,18,19"
