date,dacq_limit,cake_limit,pickup_time
20201206,200,10,"14,15,16,17,18,19,20,21"
20201207,200,10,"14,15,16,17,18,19,20,21"
20201208,200,10,"14,15,16,17,18,19,20,21"
20201209,200,10,"14,15,16,17,18,19,20,21"
20201210,200,10,"14,15,16,17,18,19,20,21"
20201211,200,10,"14,15,16,17,18,19,20,21"
20201212,200,10,"14,15,16,17,18,19,20,21"
20201213,200,10,"14,15,16,17,18,19,20,21"
20201214,200,10,"14,15,16,17,18,19,20,21"
20201215,200,10,"14,15,16,17,18,19,20,21"
20201216,200,10,"14,15,16,17,18,19,20,21"
20201217,200,10,"14,15,16,17,18,19,20,21"
20201218,200,10,"14,15,16,17,18,19,20,21"
20201219,200,10,"14,15,16,17,18,19,20,21"
20201220,200,10,"14,15,16,17,18,19,20,21"
20201221,200,10,"14,15,16,17,18,19,20,21"
20201222,200,10,"14,15,16,17,18,19,20,21"
20201223,200,10,"14,15,16,17,18,19,20,21"
20201224,200,10,"14,15,16,17,18,19,20,21"
20201225,200,10,"14,15,16,17,18,19,20,21"
20201226,200,10,"14,15,16,17,18,19,20,21"
20201227,200,10,"14,15,16,17,18,19,20,21"
20201228,200,10,"14,15,16,17,18,19,20,21"
20201229,200,10,"14,15,16,17,18,19,20,21"
20201230,200,10,"14,15,16,17,18,19,20,21"
20201231,200,10,"14,15,16,17,18,19,20,21"
20210101,200,10,"14,15,16,17,18,19,20,21"
20210102,200,10,"14,15,16,17,18,19,20,21"
